iter	Passed	Remaining
0	134	134709
1	135	67664
2	136	45367
3	137	34190
4	138	27491
5	138	23021
6	139	19833
7	140	17442
8	141	15580
9	142	14091
10	143	12876
11	144	11864
12	144	11004
13	145	10268
14	146	9640
15	147	9085
16	148	8602
17	149	8162
18	150	7769
19	151	7414
20	152	7093
21	152	6800
22	153	6532
23	154	6286
24	155	6061
25	156	5853
26	157	5661
27	157	5481
28	158	5315
29	159	5161
30	160	5017
31	161	4886
32	162	4761
33	163	4646
34	164	4542
35	165	4441
36	166	4342
37	167	4247
38	168	4156
39	169	4070
40	170	3988
41	171	3910
42	172	3838
43	173	3767
44	174	3699
45	175	3637
46	176	3576
47	177	3517
48	178	3461
49	179	3407
50	180	3354
51	181	3304
52	182	3255
53	183	3208
54	184	3164
55	185	3120
56	186	3078
57	187	3039
58	188	3000
59	189	2963
60	190	2927
61	191	2892
62	192	2858
63	193	2825
64	194	2792
65	195	2761
66	196	2730
67	197	2701
68	198	2673
69	199	2645
70	200	2618
71	201	2592
72	202	2567
73	203	2548
74	204	2524
75	206	2504
76	206	2481
77	207	2458
78	208	2435
79	209	2413
80	210	2392
81	211	2371
82	212	2346
83	213	2326
84	214	2307
85	215	2288
86	216	2270
87	217	2252
88	218	2235
89	219	2217
90	220	2200
91	221	2183
92	222	2167
93	223	2151
94	224	2135
95	225	2120
96	226	2105
97	227	2091
98	228	2076
99	229	2061
100	230	2047
101	231	2034
102	232	2022
103	233	2009
104	234	1996
105	235	1983
106	236	1971
107	237	1959
108	238	1947
109	239	1935
110	240	1923
111	241	1912
112	242	1901
113	243	1890
114	244	1879
115	245	1868
116	246	1858
117	247	1849
118	248	1838
119	249	1828
120	250	1818
121	251	1807
122	252	1798
123	253	1788
124	254	1779
125	255	1770
126	255	1759
127	256	1750
128	257	1741
129	258	1732
130	259	1724
131	260	1716
132	261	1707
133	262	1699
134	263	1690
135	264	1682
136	265	1674
137	266	1667
138	267	1659
139	268	1651
140	269	1643
141	270	1634
142	271	1626
143	272	1619
144	273	1612
145	274	1605
146	275	1598
147	276	1591
148	277	1584
149	278	1577
150	279	1570
151	280	1564
152	281	1557
153	282	1550
154	283	1544
155	284	1537
156	285	1531
157	286	1524
158	287	1518
159	288	1512
160	288	1505
161	290	1502
162	292	1500
163	293	1494
164	294	1488
165	295	1483
166	296	1477
167	297	1471
168	298	1465
169	299	1460
170	300	1455
171	301	1450
172	302	1444
173	303	1439
174	304	1434
175	305	1429
176	306	1423
177	307	1418
178	308	1413
179	309	1408
180	310	1403
181	311	1400
182	312	1395
183	313	1390
184	314	1386
185	315	1381
186	316	1376
187	317	1371
188	318	1367
189	319	1362
190	320	1357
191	321	1352
192	322	1348
193	323	1343
194	324	1339
195	325	1335
196	326	1330
197	327	1326
198	328	1322
199	329	1319
200	331	1316
201	332	1312
202	333	1308
203	334	1304
204	335	1300
205	336	1296
206	337	1292
207	338	1288
208	339	1284
209	340	1281
210	341	1278
211	343	1275
212	344	1271
213	345	1269
214	346	1266
215	348	1263
216	349	1260
217	350	1257
218	352	1255
219	353	1252
220	354	1249
221	355	1245
222	356	1242
223	357	1239
224	359	1237
225	360	1233
226	361	1230
227	362	1227
228	363	1223
229	364	1220
230	365	1217
231	366	1214
232	367	1211
233	369	1208
234	370	1205
235	371	1202
236	372	1199
237	373	1196
238	374	1193
239	375	1190
240	377	1188
241	378	1185
242	379	1182
243	380	1179
244	381	1176
245	383	1175
246	384	1173
247	386	1170
248	387	1168
249	388	1165
250	390	1163
251	391	1161
252	392	1159
253	393	1157
254	395	1154
255	396	1151
256	397	1149
257	398	1147
258	400	1144
259	401	1142
260	402	1139
261	403	1136
262	404	1134
263	405	1131
264	406	1128
265	407	1125
266	408	1122
267	409	1119
268	410	1116
269	412	1114
270	413	1111
271	414	1108
272	415	1106
273	416	1103
274	417	1100
275	418	1098
276	419	1095
277	420	1093
278	422	1090
279	423	1088
280	424	1086
281	425	1083
282	426	1081
283	427	1078
284	428	1076
285	430	1073
286	431	1072
287	432	1070
288	434	1068
289	435	1066
290	436	1063
291	437	1060
292	438	1057
293	439	1055
294	440	1052
295	441	1050
296	442	1047
297	443	1044
298	444	1042
299	445	1039
300	446	1036
301	447	1034
302	448	1032
303	449	1029
304	450	1027
305	451	1024
306	453	1022
307	454	1020
308	455	1018
309	456	1016
310	457	1013
311	458	1011
312	459	1008
313	460	1006
314	461	1003
315	462	1001
316	463	999
317	464	996
318	465	994
319	466	992
320	468	990
321	469	988
322	470	986
323	471	983
324	472	981
325	474	980
326	475	978
327	476	975
328	477	973
329	478	971
330	479	969
331	480	967
332	481	965
333	483	963
334	484	960
335	485	958
336	486	956
337	487	954
338	488	952
339	489	949
340	490	947
341	491	945
342	492	943
343	493	940
344	494	938
345	495	936
346	496	934
347	497	932
348	498	930
349	499	927
350	500	925
351	501	923
352	502	921
353	503	919
354	504	916
355	505	914
356	506	912
357	507	910
358	508	908
359	509	906
360	511	904
361	512	903
362	513	901
363	514	899
364	516	897
365	517	895
366	518	894
367	519	892
368	520	890
369	521	888
370	522	886
371	524	884
372	525	883
373	526	881
374	527	879
375	528	877
376	529	875
377	530	873
378	531	871
379	532	869
380	533	867
381	535	865
382	536	863
383	537	861
384	538	860
385	539	858
386	540	856
387	541	854
388	542	852
389	543	850
390	544	848
391	546	846
392	547	844
393	548	843
394	549	841
395	550	839
396	551	837
397	552	835
398	553	833
399	554	831
400	555	830
401	556	828
402	558	826
403	559	824
404	560	822
405	561	820
406	562	819
407	563	817
408	564	815
409	565	813
410	566	812
411	567	810
412	568	808
413	570	807
414	572	806
415	573	804
416	574	802
417	575	801
418	576	799
419	577	797
420	578	796
421	579	794
422	581	792
423	582	790
424	583	789
425	584	787
426	585	785
427	586	783
428	587	781
429	588	779
430	589	778
431	590	776
432	591	774
433	592	773
434	593	771
435	594	769
436	596	767
437	597	766
438	598	764
439	599	762
440	600	760
441	601	758
442	602	757
443	603	755
444	604	753
445	605	752
446	606	750
447	607	748
448	608	747
449	609	745
450	611	743
451	612	742
452	613	740
453	614	738
454	615	736
455	616	735
456	617	733
457	618	731
458	619	730
459	620	728
460	621	726
461	622	725
462	623	723
463	624	721
464	625	719
465	626	718
466	627	716
467	628	714
468	629	712
469	630	711
470	631	709
471	632	707
472	633	705
473	634	704
474	635	702
475	636	700
476	637	699
477	638	697
478	640	696
479	641	694
480	642	693
481	643	691
482	644	689
483	645	688
484	646	686
485	648	685
486	649	683
487	650	682
488	651	680
489	652	679
490	654	678
491	655	676
492	656	675
493	657	673
494	658	671
495	659	670
496	660	668
497	661	667
498	662	665
499	663	663
500	665	662
501	666	661
502	667	659
503	668	657
504	669	656
505	670	654
506	671	653
507	672	651
508	673	650
509	674	648
510	675	646
511	677	645
512	678	643
513	679	642
514	680	640
515	681	639
516	682	638
517	684	636
518	685	634
519	686	633
520	687	631
521	688	630
522	689	628
523	690	627
524	691	625
525	693	624
526	694	623
527	695	621
528	696	620
529	697	618
530	698	617
531	699	615
532	700	614
533	701	612
534	703	611
535	704	609
536	705	608
537	706	606
538	707	604
539	708	603
540	709	602
541	710	600
542	711	599
543	713	597
544	714	596
545	715	594
546	716	593
547	717	591
548	718	590
549	719	588
550	720	587
551	722	586
552	723	584
553	724	583
554	725	581
555	726	580
556	727	578
557	728	577
558	730	575
559	731	574
560	732	572
561	733	571
562	734	569
563	735	568
564	736	567
565	737	565
566	739	564
567	740	563
568	741	561
569	742	560
570	743	558
571	745	557
572	746	556
573	747	554
574	748	553
575	750	552
576	751	550
577	752	549
578	753	547
579	754	546
580	755	544
581	756	543
582	757	541
583	758	540
584	759	538
585	760	537
586	761	535
587	762	534
588	763	533
589	765	531
590	766	530
591	767	528
592	768	527
593	769	525
594	770	524
595	771	523
596	772	521
597	773	520
598	775	518
599	776	517
600	777	516
601	778	514
602	779	513
603	780	511
604	781	510
605	782	508
606	783	507
607	784	505
608	785	504
609	786	503
610	787	501
611	788	500
612	789	498
613	791	497
614	792	495
615	793	494
616	794	492
617	795	491
618	796	490
619	797	488
620	798	487
621	799	486
622	801	484
623	802	483
624	803	482
625	804	480
626	805	479
627	806	477
628	807	476
629	808	475
630	809	473
631	810	472
632	811	470
633	812	469
634	813	467
635	814	466
636	815	464
637	817	463
638	818	462
639	819	461
640	821	459
641	821	458
642	822	456
643	823	455
644	825	454
645	826	452
646	827	451
647	828	450
648	829	448
649	830	447
650	831	445
651	832	444
652	834	443
653	835	441
654	836	440
655	837	439
656	838	437
657	839	436
658	841	435
659	842	433
660	843	432
661	844	431
662	845	429
663	846	428
664	847	427
665	848	425
666	850	424
667	851	422
668	852	421
669	853	420
670	854	418
671	855	417
672	856	416
673	857	414
674	859	413
675	860	412
676	861	410
677	862	409
678	863	408
679	865	407
680	866	405
681	867	404
682	868	402
683	869	401
684	870	400
685	871	398
686	872	397
687	873	395
688	874	394
689	875	393
690	876	391
691	877	390
692	878	389
693	879	387
694	880	386
695	881	385
696	882	383
697	883	382
698	884	380
699	885	379
700	886	378
701	888	377
702	889	375
703	890	374
704	891	372
705	892	371
706	893	370
707	894	368
708	895	367
709	896	366
710	897	364
711	898	363
712	899	362
713	900	360
714	901	359
715	902	358
716	903	356
717	904	355
718	905	353
719	906	352
720	907	351
721	908	349
722	909	348
723	910	347
724	911	345
725	912	344
726	913	343
727	914	341
728	915	340
729	917	339
730	918	337
731	919	336
732	920	335
733	921	333
734	922	332
735	923	331
736	924	329
737	925	328
738	927	327
739	928	326
740	929	324
741	930	323
742	931	322
743	932	320
744	933	319
745	934	318
746	935	316
747	936	315
748	937	314
749	938	312
750	939	311
751	940	310
752	940	308
753	941	307
754	942	305
755	943	304
756	944	303
757	945	301
758	946	300
759	947	299
760	948	297
761	949	296
762	950	295
763	951	293
764	952	292
765	953	291
766	954	289
767	955	288
768	956	287
769	957	286
770	958	284
771	959	283
772	960	282
773	961	280
774	962	279
775	963	278
776	964	276
777	965	275
778	966	274
779	967	272
780	968	271
781	969	270
782	970	268
783	971	267
784	972	266
785	973	265
786	974	263
787	975	262
788	976	261
789	977	259
790	978	258
791	979	257
